Neg:T:GlobalIndex,Neg:T:Loss
201930.0,15.379093
118177.0,15.379093
45337.0,15.379093
45331.0,15.379093
118158.0,15.379093
143318.0,15.379093
143315.0,15.379093
202470.0,15.379093
16961.0,15.379093
88703.0,15.379093
163291.0,15.379093
45260.0,15.379093
45259.0,15.379093
45257.0,15.379093
202522.0,15.379093
202555.0,15.379093
118210.0,15.379093
118211.0,15.379093
45346.0,15.379093
88687.0,15.379093
45436.0,15.379093
143350.0,15.379093
45427.0,15.379093
45426.0,15.379093
45422.0,15.379093
45420.0,15.379093
143351.0,15.379093
45413.0,15.379093
45412.0,15.379093
16927.0,15.379093
45368.0,15.379093
16929.0,15.379093
16932.0,15.379093
45392.0,15.379093
129470.0,15.379093
45390.0,15.379093
45389.0,15.379093
16937.0,15.379093
118133.0,15.379093
45195.0,15.379093
143238.0,15.379093
202660.0,15.379093
143272.0,15.379093
143267.0,15.379093
143266.0,15.379093
143262.0,15.379093
129434.0,15.379093
143257.0,15.379093
143235.0,15.379093
163313.0,15.379093
118308.0,15.379093
202711.0,15.379093
202715.0,15.379093
143227.0,15.379093
92373.0,15.379093
44948.0,15.379093
143219.0,15.379093
129428.0,15.379093
202653.0,15.379093
88738.0,15.379093
88737.0,15.379093
202577.0,15.379093
118225.0,15.379093
118227.0,15.379093
92377.0,15.379093
217946.0,15.379093
118237.0,15.379093
118238.0,15.379093
217944.0,15.379093
135932.0,15.379093
45131.0,15.379093
16999.0,15.379093
118263.0,15.379093
202626.0,15.379093
45080.0,15.379093
202627.0,15.379093
202632.0,15.379093
45429.0,15.379093
96355.0,15.379093
118725.0,15.379093
202102.0,15.379093
88623.0,15.379093
202113.0,15.379093
96377.0,15.379093
88630.0,15.379093
129512.0,15.379093
45811.0,15.379093
117973.0,15.379093
202149.0,15.379093
202150.0,15.379093
169909.0,15.379093
45763.0,15.379093
45760.0,15.379093
45759.0,15.379093
45752.0,15.379093
45750.0,15.379093
143462.0,15.379093
45885.0,15.379093
118112.0,15.379093
45946.0,15.379093
45997.0,15.379093
45996.0,15.379093
143507.0,15.379093
117898.0,15.379093
88593.0,15.379093
202020.0,15.379093
96398.0,15.379093
16770.0,15.379093
88601.0,15.379093
202067.0,15.379093
45941.0,15.379093
45940.0,15.379093
202059.0,15.379093
202061.0,15.379093
45913.0,15.379093
45905.0,15.379093
45900.0,15.379093
135881.0,15.379093
45711.0,15.379093
218001.0,15.379093
45532.0,15.379093
16882.0,15.379093
16883.0,15.379093
16884.0,15.379093
16886.0,15.379093
96362.0,15.379093
16889.0,15.379093
16891.0,15.379093
45499.0,15.379093
118109.0,15.379093
45476.0,15.379093
217983.0,15.379093
45474.0,15.379093
118110.0,15.379093
45459.0,15.379093
16905.0,15.379093
118083.0,15.379093
118080.0,15.379093
118078.0,15.379093
45691.0,15.379093
202232.0,15.379093
202239.0,15.379093
202242.0,15.379093
45650.0,15.379093
143397.0,15.379093
118051.0,15.379093
202289.0,15.379093
202290.0,15.379093
118062.0,15.379093
45568.0,15.379093
16864.0,15.379093
16865.0,15.379093
88663.0,15.379093
129490.0,15.379093
143217.0,15.379093
118324.0,15.379093
118325.0,15.379093
143008.0,15.379093
17223.0,15.379093
44267.0,15.379093
136005.0,15.379093
44262.0,15.379093
44261.0,15.379093
88879.0,15.379093
143020.0,15.379093
44226.0,15.379093
136003.0,15.379093
203198.0,15.379093
143003.0,15.379093
118650.0,15.379093
203222.0,15.379093
203232.0,15.379093
142981.0,15.379093
44181.0,15.379093
17222.0,15.379093
44269.0,15.379093
203093.0,15.379093
203117.0,15.379093
44380.0,15.379093
44379.0,15.379093
163410.0,15.379093
44359.0,15.379093
163412.0,15.379093
44350.0,15.379093
135991.0,15.379093
118622.0,15.379093
44327.0,15.379093
17207.0,15.379093
44324.0,15.379093
44291.0,15.379093
136002.0,15.379093
217863.0,15.379093
96243.0,15.379093
118620.0,15.379093
142980.0,15.379093
44176.0,15.379093
44174.0,15.379093
17306.0,15.379093
203270.0,15.379093
96227.0,15.379093
17298.0,15.379093
118712.0,15.379093
44029.0,15.379093
203292.0,15.379093
17302.0,15.379093
44023.0,15.379093
17308.0,15.379093
203236.0,15.379093
217813.0,15.379093
203294.0,15.379093
166710.0,15.379093
118717.0,15.379093
129318.0,15.379093
203300.0,15.379093
118718.0,15.379093
163425.0,15.379093
44059.0,15.379093
118698.0,15.379093
44166.0,15.379093
129345.0,15.379093
129344.0,15.379093
44125.0,15.379093
44122.0,15.379093
44118.0,15.379093
44107.0,15.379093
44102.0,15.379093
44100.0,15.379093
118691.0,15.379093
17277.0,15.379093
44084.0,15.379093
17281.0,15.379093
44081.0,15.379093
44071.0,15.379093
44066.0,15.379093
135986.0,15.379093
203092.0,15.379093
44412.0,15.379093
88797.0,15.379093
44761.0,15.379093
44759.0,15.379093
44751.0,15.379093
217908.0,15.379093
44737.0,15.379093
118419.0,15.379093
88796.0,15.379093
118436.0,15.379093
44633.0,15.379093
17107.0,15.379093
202878.0,15.379093
96288.0,15.379093
202880.0,15.379093
202893.0,15.379093
44639.0,15.379093
44637.0,15.379093
143191.0,15.379093
44765.0,15.379093
92371.0,15.379093
143212.0,15.379093
44894.0,15.379093
143208.0,15.379093
88760.0,15.379093
118337.0,15.379093
17056.0,15.379093
17057.0,15.379093
129418.0,15.379093
92369.0,15.379093
118358.0,15.379093
118369.0,15.379093
143201.0,15.379093
44818.0,15.379093
44817.0,15.379093
44805.0,15.379093
