Pos:T:GlobalIndex,Pos:T:Loss
202465.0,15.379093
96338.0,15.379093
164964.0,15.379093
202676.0,15.379093
202643.0,15.379093
202630.0,15.379093
117970.0,15.379093
129485.0,15.379093
143379.0,15.379093
202330.0,15.379093
217857.0,15.379093
142996.0,15.379093
88891.0,15.379093
143182.0,15.379093
96285.0,15.379093
202803.0,15.379093
118475.0,15.379093
163377.0,15.379093
169770.0,15.379093
143109.0,15.379093
88347.0,15.379093
117168.0,15.379093
88356.0,15.379093
88362.0,15.379093
144227.0,15.379093
116981.0,15.379093
200688.0,15.379093
200628.0,15.379093
200629.0,15.379093
144037.0,15.379093
200843.0,15.379093
218286.0,15.379093
117630.0,15.379093
201933.0,15.379093
143551.0,15.379093
201978.0,15.379093
201903.0,15.379093
201867.0,15.379093
96454.0,15.379093
129597.0,15.379093
201543.0,15.379093
143807.0,15.379093
204899.0,15.379093
204692.0,15.379093
169434.0,15.379093
163651.0,15.379093
163662.0,15.379093
205055.0,15.379093
204470.0,15.379093
166740.0,15.379093
204407.0,15.379093
166739.0,15.379093
169447.0,15.379093
141869.0,15.379093
205502.0,15.379093
205386.0,15.379093
128942.0,15.379093
205530.0,15.379093
120223.0,15.379093
205597.0,15.379093
141837.0,15.379093
169309.0,15.379093
163666.0,15.379093
119944.0,15.379093
128993.0,15.379093
128992.0,15.379093
217745.0,15.379093
118959.0,15.379093
217744.0,15.379093
166720.0,15.379093
203895.0,15.379093
169688.0,15.379093
88956.0,15.379093
142805.0,15.379093
203650.0,15.379093
203572.0,15.379093
89150.0,15.379093
119214.0,15.379093
119215.0,15.379093
119217.0,15.379093
53562.0,15.379093
196991.0,15.379093
171069.0,15.379093
162804.0,15.379093
146914.0,15.379093
146966.0,15.379093
147392.0,15.379093
53972.0,15.379093
113984.0,15.379093
171231.0,15.379093
54096.0,15.379093
54061.0,15.379093
166411.0,15.379093
147298.0,15.379093
130380.0,15.379093
196940.0,15.379093
114812.0,15.379093
146417.0,15.379093
197701.0,15.379093
218933.0,15.379093
114799.0,15.379093
135469.0,15.379093
135470.0,15.379093
197961.0,15.379093
162812.0,15.379093
162813.0,15.379093
130315.0,15.379093
130306.0,15.379093
146832.0,15.379093
146817.0,15.379093
146806.0,15.379093
146805.0,15.379093
218952.0,15.379093
162818.0,15.379093
135338.0,15.379093
147578.0,15.379093
97319.0,15.379093
113188.0,15.379093
195650.0,15.379093
55285.0,15.379093
113330.0,15.379093
112954.0,15.379093
148444.0,15.379093
195082.0,15.379093
219388.0,15.379093
55968.0,15.379093
195293.0,15.379093
195294.0,15.379093
54484.0,15.379093
147822.0,15.379093
147821.0,15.379093
196248.0,15.379093
196228.0,15.379093
219201.0,15.379093
113809.0,15.379093
196329.0,15.379093
147613.0,15.379093
54349.0,15.379093
113650.0,15.379093
171408.0,15.379093
195836.0,15.379093
86857.0,15.379093
130526.0,15.379093
54952.0,15.379093
87957.0,15.379093
199681.0,15.379093
135640.0,15.379093
116355.0,15.379093
116357.0,15.379093
49302.0,15.379093
144991.0,15.379093
199876.0,15.379093
145410.0,15.379093
49826.0,15.379093
199444.0,15.379093
199475.0,15.379093
49945.0,15.379093
200384.0,15.379093
218436.0,15.379093
144559.0,15.379093
48831.0,15.379093
144600.0,15.379093
96631.0,15.379093
144348.0,15.379093
88207.0,15.379093
144458.0,15.379093
135735.0,15.379093
200041.0,15.379093
